"tconst","primaryTitle","startYear","genres","decade","averageRating","numVotes"
"tt8413338","Kumbalangi Nights",2019,"Comedy,Drama,Romance","2010s",8.5,21508
"tt0151804","Office Space",1999,"Comedy","1990s",7.6,308003
"tt3153634","Hope",2013,"Drama","2010s",8.2,11831
"tt8745676","The Swimmers",2022,"Biography,Drama,Sport","2020s",7.4,40339
"tt0479751","Sivaji",2007,"Action,Crime,Drama","2000s",7.6,23816
"tt20452454","Binny and Baba",2022,"Drama","2020s",7.4,5507
"tt3526482","Tales",2014,"Drama","2010s",7,1612
"tt0093207","Wings of Honneamise",1987,"Animation,Drama,Sci-Fi","1980s",7.2,6231
"tt13827606","La civil",2021,"Drama","2020s",7.2,1563
"tt0101428","La Belle Noiseuse",1991,"Drama","1990s",7.5,10520
"tt5996202","The Net",2016,"Drama","2010s",7.4,5029
"tt5390430","Accidental Courtesy: Daryl Davis, Race & America",2016,"Biography,Documentary,History","2010s",7.6,1228
"tt9395794","Armstrong",2019,"Biography,Documentary","2010s",7.1,1127
"tt4364194","The Peanut Butter Falcon",2019,"Adventure,Comedy,Drama","2010s",7.6,119331
"tt6135348","120 BPM",2017,"Drama","2010s",7.4,17649
"tt0110889","Priest",1994,"Drama,Romance","1990s",7.1,11742
"tt0094357","A Better Tomorrow II",1987,"Action,Crime,Drama","1980s",7.2,12651
"tt0090579","Voyeur",1986,"Comedy","1980s",7.4,2706
"tt0109747","La estrategia del caracol",1993,"Comedy,Drama","1990s",7.7,3107
"tt0069452","Walter Defends Sarajevo",1972,"Action,War","1970s",8.1,3244
"tt21215388","Remembering Gene Wilder",2023,"Biography,Documentary","2020s",7.8,3681
"tt2177843","We Are Legion: The Story of the Hacktivists",2012,"Documentary","2010s",7.2,10526
"tt10524262","Missing 411: The Hunted",2019,"Documentary","2010s",7,2590
"tt0104522","Into the West",1992,"Adventure,Family,Fantasy","1990s",7,3404
"tt0155796","Dr. Akagi",1998,"Comedy,Drama,History","1990s",7.2,1687
"tt5233558","The Death and Life of Marsha P. Johnson",2017,"Biography,Documentary","2010s",7.2,3351
"tt28075055","Toby",2023,"Crime,Drama,Thriller","2020s",7.2,3426
"tt8946378","Knives Out",2019,"Comedy,Crime,Drama","2010s",7.9,874812
"tt0246772","Mostly Martha",2001,"Comedy,Drama,Romance","2000s",7.2,8870
"tt0079606","National Class Category Up to 785 Ccm",1979,"Comedy,Drama,Sport","1970s",8.4,4571
"tt0319343","Elf",2003,"Adventure,Comedy,Family","2000s",7.1,346332
"tt6718730","Born a King",2019,"Drama,History","2010s",7.3,3143
"tt0083281","Vernon, Florida",1981,"Documentary","1980s",7,3914
"tt19407476","Bari",2022,"Action,Drama","2020s",8,1544
"tt11332484","The Road Dance",2021,"Drama","2020s",7.1,2276
"tt1668191","Hunting Season",2010,"Crime,Drama,Mystery","2010s",7.4,39372
"tt0082714","Il marchese del Grillo",1981,"Comedy,History","1980s",7.7,4238
"tt0069289","Snoopy Come Home",1972,"Adventure,Animation,Comedy","1970s",7.3,5619
"tt0119177","Gattaca",1997,"Drama,Sci-Fi,Thriller","1990s",7.7,346290
"tt0331642","Rasigan",1994,"Action,Romance","1990s",7,1013
"tt0798796","Tatar Ramazan Sürgünde",1992,"Drama","1990s",8,2171
"tt0441773","Kung Fu Panda",2008,"Action,Adventure,Animation","2000s",7.6,578074
"tt0125298","His Motorbike, Her Island",1986,"Drama,Romance","1980s",7.3,1102
"tt3901826","The Breadwinner",2017,"Animation,Drama,Family","2010s",7.7,30662
"tt0101588","City of Hope",1991,"Crime,Drama","1990s",7.2,2926
"tt1554091","A Better Life",2011,"Drama,Romance","2010s",7.2,17086
"tt0395173","Unconscious",2004,"Comedy,Mystery,Romance","2000s",7.1,2301
"tt0093185","The Hidden",1987,"Horror,Sci-Fi,Thriller","1980s",7,25469
"tt0083872","Another Way",1982,"Biography,Drama,History","1980s",7,1002
"tt0121387","Snow White",1984,"Animation,Comedy,Fantasy","1980s",7.6,1017
"tt0119164","The Full Monty",1997,"Comedy,Drama","1990s",7.2,119703
"tt0375611","Black",2005,"Drama","2000s",8.1,37483
"tt0247745","Super Troopers",2001,"Comedy,Crime,Mystery","2000s",7,118524
"tt0462441","Amazing Journey: The Story of the Who",2007,"Documentary,Music","2000s",8.1,1514
"tt16219768","Grey: The Spy Who Loved Me",2023,"Thriller","2020s",7.1,1969
"tt9808510","Vellam",2021,"Biography,Drama","2020s",7.6,2232
"tt11989890","David Attenborough: A Life on Our Planet",2020,"Biography,Documentary","2020s",8.9,36029
"tt0402493","Ivko's Feast",2005,"Comedy","2000s",7.3,4813
"tt2343601","Knuckleball!",2012,"Documentary,Sport","2010s",7.1,1833
"tt0090022","Silverado",1985,"Action,Crime,Drama","1980s",7.2,54146
"tt0847154","Angels of the Sun",2006,"Drama","2000s",7,1250
"tt6354784","The Hungry",2017,"Drama","2010s",7,1437
"tt2245544","Carry on Jatta",2012,"Comedy","2010s",8.3,3911
"tt0851577","The Island",2006,"Comedy,Drama","2000s",7.8,13264
"tt0071360","The Conversation",1974,"Drama,Mystery,Thriller","1970s",7.7,136650
"tt3060492","Before I Disappear",2014,"Adventure,Drama","2010s",7.2,10711
"tt0190332","Crouching Tiger, Hidden Dragon",2000,"Action,Adventure,Drama","2000s",7.9,294077
"tt7689958","Jane Fonda in Five Acts",2018,"Biography,Documentary","2010s",7.9,3040
"tt1029235","Max Manus: Man of War",2008,"Action,Biography,Crime","2000s",7.3,31480
"tt0318605","Rajavin Parvaiyile",1995,"Drama,Romance","1990s",7,1202
"tt0106330","From Karkheh to Rhein",1993,"Drama,War","1990s",7.1,3140
"tt27078772","Lewis Capaldi: How I'm Feeling Now",2023,"Documentary,Music","2020s",7.3,3217
"tt2361846","Cheatin'",2013,"Animation,Comedy,Drama","2010s",7,1099
"tt3163304","The Farewell Party",2014,"Comedy,Drama,Romance","2010s",7,2350
"tt4334636","Eddie - Strongman",2015,"Documentary","2010s",7.4,1256
"tt0478970","Ant-Man",2015,"Action,Comedy,Sci-Fi","2010s",7.2,778461
"tt1403214","Paradise: Love",2012,"Drama","2010s",7,10860
"tt0119125","Firelight",1997,"Drama,Romance","1990s",7.2,5189
"tt6315524","Take Off",2017,"Action,Drama,Thriller","2010s",8,8141
"tt0079696","The Maids of Wilko",1979,"Drama,Romance","1970s",7.3,1632
"tt0452039","Mind Game",2004,"Adventure,Animation,Comedy","2000s",7.7,11967
"tt13365752","The End of the Storm",2020,"Documentary,Sport","2020s",7.7,1062
"tt0156901","The Apple",1998,"Drama","1990s",7.2,2905
"tt2199436","The Judgment",2014,"Drama","2010s",7.2,1044
"tt26440619","Afire",2023,"Comedy,Drama,Romance","2020s",7,11134
"tt8969332","The Biggest Little Farm",2018,"Documentary,Family","2010s",8,9812
"tt0080728","The Aviator's Wife",1981,"Comedy,Romance","1980s",7.4,5771
"tt0074880","Max Havelaar",1976,"Drama","1970s",7.1,1096
"tt10530176","The Call",2020,"Crime,Horror,Mystery","2020s",7.1,52738
"tt3288290","Leave the World Behind",2014,"Documentary,Music","2010s",7.7,2411
"tt0164063","It's a Long Road",1998,"Drama","1990s",7.9,2892
"tt26731970","All the Long Nights",2024,"Drama","2020s",7,1055
"tt2224317","Robber",2013,"Drama,Romance","2010s",7.4,18143
"tt1773000","Identity Card",2010,"Comedy,Drama","2010s",7.6,1364
"tt4188202","Prophet's Prey",2015,"Biography,Documentary,History","2010s",7.2,2089
"tt2165735","Drug War",2012,"Action,Crime,Drama","2010s",7,11496
"tt7159382","Fidaa",2017,"Comedy,Drama,Romance","2010s",7.4,6532
"tt0096328","U2: Rattle and Hum",1988,"Documentary,Music","1980s",7.6,6402
"tt13143988","Nail Polish",2021,"Drama","2020s",7.2,6006
"tt0085748","Jára Cimrman Lying, Sleeping",1983,"Biography,Comedy","1980s",7.9,1201
"tt11143108","Oh My Kadavule",2020,"Comedy,Fantasy,Romance","2020s",8,6005
"tt0162162","Truants",1996,"Drama","1990s",7.9,1148
"tt0082883","Passion of Love",1981,"Drama,History,Romance","1980s",7.1,1119
"tt0772153","America: Freedom to Fascism",2006,"Documentary","2000s",7.8,2659
"tt13793498","Nabab LLB",2020,"Thriller","2020s",7.3,1293
"tt0072431","Young Frankenstein",1974,"Comedy","1970s",8,180982
"tt9288046","The Sea Beast",2022,"Action,Adventure,Animation","2020s",7,65098
"tt0073341","The Man Who Would Be King",1975,"Adventure,Drama,War","1970s",7.7,55457
"tt8951058","The Panama Papers",2018,"Documentary","2010s",7.1,1851
"tt0477585","Border Café",2005,"Drama,Romance","2000s",7.3,2238
"tt1441912","The Way",2010,"Comedy,Drama","2010s",7.3,38043
"tt0383574","Pirates of the Caribbean: Dead Man's Chest",2006,"Action,Adventure,Fantasy","2000s",7.4,824232
"tt4025514","Suburra",2015,"Action,Crime,Drama","2010s",7.4,23152
"tt2283748","OMG: Oh My God!",2012,"Comedy,Drama,Fantasy","2010s",8.1,71006
"tt25274786","Kannur Squad",2023,"Action,Crime,Drama","2020s",7.6,12203
"tt0283283","Millennium Mambo",2001,"Drama,Romance","2000s",7,8425
"tt6985094","The Juror",2019,"Drama","2010s",7.3,1269
"tt0102816","Center Stage",1991,"Biography,Drama,Romance","1990s",7.4,3167
"tt0427276","The Future of Food",2004,"Documentary","2000s",7.7,1450
"tt0860454","MP3: Mera Pehla Pehla Pyaar",2007,"Comedy,Drama,Musical","2000s",7,2468
"tt6316138","Ayla: The Daughter of War",2017,"Biography,Drama,History","2010s",8.2,48130
"tt0485922","Keerthi Chakra",2006,"Action,Drama,War","2000s",7.2,1205
"tt0102516","The Promised Heaven",1991,"Comedy,Drama","1990s",7.2,1106
"tt6900448","Mirai",2018,"Adventure,Animation,Drama","2010s",7,19739
"tt1688649","The Sleeping Voice",2011,"Drama,War","2010s",7.2,2789
"tt0930098","Yilanlarin Öcü",1985,"Drama","1980s",7.6,1551
"tt0365089","The Red Colored Grey Truck",2004,"Adventure,Comedy,Romance","2000s",7.3,6135
"tt0216165","Running Out of Time",1999,"Action,Crime,Drama","1990s",7.3,7014
"tt2719848","Everest",2015,"Action,Adventure,Biography","2010s",7.1,246680
"tt26596953","Forgotten Love",2023,"Drama,Romance","2020s",7.5,13834
"tt0107818","Philadelphia",1993,"Drama","1990s",7.7,273453
"tt0188503","The Quiet Family",1998,"Comedy,Crime,Horror","1990s",7,6726
"tt3815424","3000 Nights",2015,"Drama","2010s",7.1,1368
"tt27141553","Hello Meera",2023,"Drama","2020s",7,1939
"tt0090246","Vabank II, czyli riposta",1985,"Comedy,Crime","1980s",7.4,3253
"tt31727542","Alex Edelman: Just for Us",2024,"Comedy,Documentary","2020s",7.8,1054
"tt0065772","Claire's Knee",1970,"Drama,Romance","1970s",7.4,13537
"tt1438298","Guzaarish",2010,"Drama,Romance","2010s",7.4,20818
"tt0424434","Beautiful City",2004,"Drama,Romance","2000s",7.6,6831
"tt1783422","Two Lives",2012,"Drama,Thriller","2010s",7.1,3405
"tt21836538","The Figo Affair: The Transfer that Changed Football",2022,"Documentary,Sport","2020s",7.1,6578
"tt3848892","Baby",2015,"Action,Crime,Thriller","2010s",7.9,63132
"tt0247613","Peppermint Candy",1999,"Drama","1990s",7.6,12432
"tt0360486","Constantine",2005,"Action,Fantasy,Horror","2000s",7,406832
"tt0074121","Allegro non troppo",1976,"Animation,Comedy,Fantasy","1970s",7.4,3493
"tt1454029","The Help",2011,"Drama","2010s",8.1,527544
"tt0393775","Simon",2004,"Comedy,Drama","2000s",7.8,8325
"tt0473707","Sons",2006,"Drama","2000s",7.1,1640
"tt0126886","Election",1999,"Comedy,Romance","1990s",7.2,111413
"tt0094625","Akira",1988,"Action,Animation,Drama","1980s",8,225686
"tt9179096","Minamata",2020,"Drama","2020s",7.2,24961
"tt0385700","Final Fantasy VII: Advent Children",2005,"Action,Adventure,Animation","2000s",7.1,59661
"tt8032912","Parwaaz Hai Junoon",2018,"Action,Romance,War","2010s",7.5,1819
"tt6463320","Zana",2019,"Drama,Mystery,Thriller","2010s",7.1,4895
"tt11394650","On the Record",2020,"Documentary","2020s",7.2,1035
"tt1899353","The Raid: Redemption",2011,"Action,Crime,Thriller","2010s",7.6,229673
"tt7825208","Marighella",2019,"Action,Drama,History","2010s",7.1,56859
"tt0249361","Annamayya",1997,"Biography,Drama,History","1990s",8.1,2020
"tt0252488","The Chaos Class Failed the Class",1975,"Comedy","1970s",8.4,30363
"tt21940010","A Million Miles Away",2023,"Biography,Drama","2020s",7.3,26179
"tt0127626","Kiler",1997,"Action,Comedy,Crime","1990s",7.5,8700
"tt1244754","Conviction",2010,"Biography,Crime,Drama","2010s",7.2,48147
"tt0366304","Choker Bali: A Passion Play",2003,"Drama","2000s",7.2,2155
"tt29319990","The Pig, the Snake and the Pigeon",2023,"Action,Crime,Drama","2020s",7.3,8486
"tt2544766","The Admiral",2015,"Action,Biography,Drama","2010s",7,11020
"tt0226018","Final Episode",1974,"Action,Crime,Drama","1970s",7.3,1404
"tt0168446","Aberdeen",2000,"Drama","2000s",7.1,3682
"tt4928620","Pathemari",2015,"Drama","2010s",8.3,5358
"tt1865569","Çalgi Çengi",2011,"Comedy","2010s",7,14296
"tt7456468","Kase-san and Morning Glories",2018,"Animation,Drama,Romance","2010s",7.2,1139
"tt3576728","Bilal: A New Breed of Hero",2015,"Action,Adventure,Animation","2010s",7.6,19667
"tt1155652","The Garden of Sinners: Remaining Sense of Pain",2008,"Action,Animation,Crime","2000s",7.3,2284
"tt14156154","Chal Mera Putt 3",2021,"Comedy","2020s",7.1,1956
"tt22797706","Project Iceman",2022,"Documentary","2020s",7.9,1548
"tt2576852","The Tale of The Princess Kaguya",2013,"Animation,Drama,Family","2010s",8,61686
"tt12169664","Zero Nine",2021,"Action,Crime,Thriller","2020s",7.5,1219
"tt13285394","The Accusation",2021,"Drama","2020s",7,2342
"tt0079638","Norma Rae",1979,"Drama","1970s",7.3,13983
"tt0491977","Dolap Beygiri",1982,"Comedy,Drama","1980s",7.2,2907
"tt2057931","The Foster Boy",2011,"Drama","2010s",7.4,1555
"tt0095468","A Short Film About Killing",1988,"Crime,Drama","1980s",7.9,24216
"tt0802948","An American Crime",2007,"Biography,Crime,Drama","2000s",7.2,39784
"tt5161502","SOMM: Into the Bottle",2015,"Documentary","2010s",7.3,2044
"tt0104008","A Tale of Winter",1992,"Drama,Romance","1990s",7.2,7011
"tt0105089","The Panama Deception",1992,"Documentary,History,War","1990s",7.5,1235
"tt0119385","Iruvar",1997,"Biography,Drama","1990s",8.4,8941
"tt0117318","The People vs. Larry Flynt",1996,"Biography,Drama","1990s",7.3,105680
"tt5776858","Phantom Thread",2017,"Drama,Romance","2010s",7.4,161699
"tt30486891","Delivery Boy",2024,"Comedy,Drama","2020s",8,1154
"tt0272152","K-PAX",2001,"Drama,Mystery,Sci-Fi","2000s",7.4,202364
"tt2066051","Rocketman",2019,"Biography,Drama,Music","2010s",7.3,208713
"tt4840206","Sons of Rizk",2015,"Action,Comedy,Crime","2010s",7.4,5529
"tt4741708","A Kid",2016,"Drama","2010s",7.3,2128
"tt2328503","As One",2012,"Drama,Sport","2010s",7.2,1414
"tt0416320","Match Point",2005,"Drama,Romance,Thriller","2000s",7.6,238796
"tt0154685","Johny Mera Naam",1970,"Action,Drama,Romance","1970s",7.4,1052
"tt0210299","Songcatcher",2000,"Drama,Music","2000s",7.3,3861
"tt3717532","The Last: Naruto the Movie",2014,"Action,Adventure,Animation","2010s",7.6,20582
"tt15165236","The Hand",2004,"Drama,Romance","2000s",7.4,1562
"tt2070649","Silenced",2011,"Drama","2010s",8,27298
"tt0098532","The Match Factory Girl",1990,"Comedy,Crime,Drama","1990s",7.5,13562
"tt0113540","Kids",1995,"Drama","1990s",7,91525
"tt0204544","Papaflessas",1971,"Adventure,Biography,Drama","1970s",7,1044
"tt0112461","The Basketball Diaries",1995,"Biography,Crime,Drama","1990s",7.3,132284
"tt0103074","Thelma & Louise",1991,"Adventure,Crime,Drama","1990s",7.6,192451
"tt0101258","Days of Being Wild",1990,"Crime,Drama,Romance","1990s",7.4,28391
"tt7959216","Utoya: July 22",2018,"Drama,Thriller","2010s",7.2,17068
"tt0070861","Only Old Men Are Going to Battle",1974,"Comedy,Drama,War","1970s",8.2,6377
"tt0111309","The Sum of Us",1994,"Comedy,Drama","1990s",7.3,6212
"tt1176727","The End of the Line",2009,"Documentary","2000s",7.5,1120
"tt0410466","Le pont des Arts",2004,"Drama,Music","2000s",7,1022
"tt0362227","The Terminal",2004,"Comedy,Drama,Romance","2000s",7.4,534377
"tt2786278","Amen",2013,"Drama,Romance","2010s",7.9,3694
"tt0792966","Blame it on Fidel",2006,"Drama","2000s",7.5,5311
"tt4641882","Todd McFarlane's Spawn 3: The Ultimate Battle",1999,"Action,Animation,Drama","1990s",8.2,1002
"tt0368909","Ong-Bak: The Thai Warrior",2003,"Action,Crime,Thriller","2000s",7.2,81409
"tt9900782","Kaithi",2019,"Action,Crime,Drama","2010s",8.4,51502
"tt0096259","Things Change",1988,"Comedy,Crime,Drama","1980s",7,4376
"tt2507128","Birth of the Living Dead",2013,"Documentary","2010s",7,1852
"tt2226347","El Farah",2009,"Drama","2000s",7.2,1990
"tt17514144","3E",2022,"Crime,Drama,Thriller","2020s",8,1237
"tt0405743","Barefoot",2005,"Comedy,Drama,Romance","2000s",7.1,11607
"tt1773015","Phas Gaye Re Obama",2010,"Comedy,Crime,Drama","2010s",7.5,6353
"tt0460791","The Fall",2006,"Adventure,Drama,Fantasy","2000s",7.8,128431
"tt0172493","Girl, Interrupted",1999,"Biography,Drama","1990s",7.3,234206
"tt0333764","Blue Gate Crossing",2002,"Drama,Romance","2000s",7.4,4739
"tt7543930","In Safe Hands",2018,"Drama","2010s",7.2,2947
"tt0117500","The Rock",1996,"Action,Adventure,Thriller","1990s",7.4,379595
"tt1459040","Ibrahim Labyad",2009,"Action,Drama","2000s",7.6,4860
"tt1111313","The Elephant in the Living Room",2010,"Documentary","2010s",7.3,1232
"tt0140412","Nammavar",1994,"Drama","1990s",7.7,1000
"tt0109655","Double Happiness",1994,"Drama,Romance","1990s",7.1,1331
"tt0105137","Piano Piano Kid",1991,"Comedy,Drama,Family","1990s",7.7,2420
"tt0351461","Noi the Albino",2003,"Comedy,Drama","2000s",7.3,9841
"tt0094716","The Beast of War",1988,"Adventure,Drama,War","1980s",7.3,11650
"tt0071733","Lacombe, Lucien",1974,"Drama,War","1970s",7.6,8360
"tt14032696","Limbo",2021,"Crime,Drama,Thriller","2020s",7.1,4300
"tt0114368","La scuola",1995,"Comedy,Drama","1990s",7,1147
"tt9603212","Mission: Impossible - Dead Reckoning Part One",2023,"Action,Adventure,Thriller","2020s",7.6,326278
"tt2820852","Furious 7",2015,"Action,Crime,Thriller","2010s",7.1,438978
"tt0107617","The Scent of Green Papaya",1993,"Drama,Music,Romance","1990s",7.3,11017
"tt0066319","Ryan's Daughter",1970,"Drama,Romance","1970s",7.4,11602
"tt0096863","My Twentieth Century",1989,"Comedy,Drama,Sci-Fi","1980s",7,2262
"tt1023114","The Way Back",2010,"Adventure,Drama,History","2010s",7.3,127395
"tt1800241","American Hustle",2013,"Crime,Drama","2010s",7.2,518320
"tt15575900","Appan",2022,"Comedy,Crime,Drama","2020s",7.5,1344
"tt0076162","House",1977,"Comedy,Horror","1970s",7.2,39404
"tt0307681","I Not Stupid",2002,"Comedy,Drama","2000s",7.2,1315
"tt0066461","One Song a Day Takes Mischief Away",1970,"Comedy,Drama,Musical","1970s",8.5,2832
"tt0079193","The Garage",1980,"Comedy,Drama","1980s",8,4827
"tt10883506","A Sun",2019,"Crime,Drama","2010s",7.6,11485
"tt0093336","The Cat",1988,"Crime,Thriller","1980s",7.1,1224
"tt10773114","One Day We'll Talk About Today",2020,"Drama","2020s",7.3,1792
"tt0150662","Show Me Love",1998,"Comedy,Drama,Romance","1990s",7.5,57957
"tt15876346","Street Light",2021,"Thriller","2020s",7.8,1118
"tt2022522","Runway",2010,"Drama","2010s",8.2,1466
